大洲名,国家名,现在确诊人数,确诊人数总数,确诊人数数量排名,累计确诊人数治愈人数,死亡人数,死亡人数数量排名,死亡比率,死亡比率排名,较昨日确诊人数,确诊新增,治愈新增,死亡新增
非洲,冈比亚,412,5857,163,5272,173,137,2.95,35,0,0,0,0
欧洲,马耳他,400,30234,118,29421,413,123,1.36,121,-22,45,67,0
非洲,赤道几内亚,355,7559,158,7097,107,154,1.41,116,0,0,0,0
亚洲,新加坡,339,61051,104,60682,30,179,0.04,205,0,0,0,0
非洲,坦桑尼亚,321,509,200,167,21,188,4.12,13,0,0,0,0
亚洲,越南,306,2857,179,2516,35,174,1.22,136,5,5,0,0
非洲,尼日尔,298,5204,164,4715,191,135,3.67,18,13,13,0,0
非洲,吉布提,279,10931,146,10510,142,146,1.29,132,-180,129,303,6
非洲,科特迪瓦,269,45863,108,45311,283,130,0.61,181,41,43,0,2
北美洲,阿鲁巴,227,10570,150,10245,98,157,0.92,162,-19,15,34,0
非洲,毛里塔尼亚,225,18282,134,17602,455,121,2.48,49,0,0,0,0
非洲,乍得,203,4779,167,4406,170,138,3.55,20,-16,9,24,1
非洲,布基纳法索,200,13263,139,12907,156,142,1.17,142,-45,0,45,0
北美洲,安提瓜和巴布达,186,1232,191,1014,32,177,2.59,44,-7,5,12,0
欧洲,冰岛,178,6447,160,6240,29,180,0.44,191,9,18,9,0
南美洲,荷兰加勒比地区,174,177,203,0,3,195,1.69,94,0,0,0,0
其他,钻石公主号邮轮,154,741,196,574,13,192,1.75,87,0,0,0,0
欧洲,列支敦士登,152,2975,178,2766,57,172,1.91,74,19,28,9,0
非洲,厄立特里亚,150,3640,175,3455,35,174,0.96,157,-10,35,45,0
非洲,塞内加尔,134,40193,112,38953,1106,98,2.75,38,-24,27,49,2
非洲,毛里求斯,134,1206,192,1055,17,189,1.40,118,0,0,0,0
北美洲,圣马丁岛,133,1758,189,1598,27,182,1.53,105,0,0,0,0
大洋洲,北马里亚纳群岛联邦,130,164,205,32,2,198,1.21,138,0,0,0,0
非洲,南苏丹,127,10553,151,10312,114,153,1.08,148,-41,21,62,0
北美洲,伯利兹,117,12624,143,12185,322,126,2.55,46,7,25,17,1
非洲,贝宁,113,7720,157,7510,97,159,1.25,134,0,0,0,0
欧洲,马恩岛,113,1587,190,1445,29,180,1.82,79,2,2,0,0
北美洲,圣卢西亚,102,4502,168,4327,73,167,1.62,102,-14,16,27,3
大洋洲,新喀里多尼亚,94,124,207,30,0,206,0.00,206,0,0,0,0
欧洲,圣马力诺,88,5058,166,4880,90,161,1.77,85,-38,3,41,0
亚洲,不丹,87,1026,193,938,1,201,0.09,204,0,0,0,0
非洲,科摩罗,83,3879,172,3650,146,144,3.76,17,0,0,0,0
欧洲,摩纳哥,72,2442,180,2338,32,177,1.31,129,-11,10,21,0
大洋洲,新西兰,71,2307,183,2210,26,185,1.12,146,0,0,0,0
非洲,利比里亚,71,2098,186,1942,85,164,4.05,15,-1,1,2,0
大洋洲,关岛,68,7939,156,7735,136,150,1.71,90,5,28,23,0
北美洲,美属维尔京群岛,58,3093,177,3008,27,182,0.87,164,-13,13,26,0
北美洲,安圭拉,55,84,,29,0,,0.00,,26,26,0,0
大洋洲,斐济,42,109,208,65,2,198,1.83,78,0,0,0,0
北美洲,巴巴多斯,38,3828,173,3746,44,173,1.14,145,-24,4,28,0
北美洲,特克斯和凯科斯群岛,34,2379,181,2328,17,189,0.71,175,1,3,2,0
非洲,圣多美和普林西比,25,2299,184,2239,35,174,1.52,107,-4,1,5,0
北美洲,开曼群岛,18,541,198,521,2,198,0.36,192,0,0,0,0
欧洲,直布罗陀,14,4291,169,4183,94,160,2.19,61,0,0,0,0
北美洲,荷属圣马丁,12,2220,185,2181,27,182,1.21,138,0,0,0,0
亚洲,文莱,10,223,201,210,3,195,1.34,124,0,0,0,0
北美洲,英属维尔京群岛,10,194,202,183,1,201,0.51,188,-52,0,52,0
北美洲,多米尼克,6,173,204,167,0,206,0.00,206,0,0,0,0
北美洲,格林那达,5,163,206,157,1,201,0.61,181,0,0,0,0
欧洲,梵蒂冈,2,29,,27,0,,0.00,,0,0,0,0
欧洲,法罗群岛,1,663,197,661,1,201,0.15,200,-1,0,1,0
南美洲,福克兰群岛,1,63,,62,0,,0.00,,0,0,0,0
北美洲,圣皮埃尔和密克隆群岛,1,25,,24,0,,0.00,,0,0,0,0
北美洲,蒙特塞拉特,1,20,,18,1,,5.00,,0,0,0,0
欧洲,根西岛,0,822,195,808,14,191,1.70,92,0,0,0,0
北美洲,圣其茨和尼维斯,0,44,,44,0,,0.00,,0,0,0,0
北美洲,格陵兰,0,31,,31,0,,0.00,,0,0,0,0
欧洲,泽西岛,-8,3233,176,3172,69,170,2.13,65,0,0,0,0
亚洲,塔吉克斯坦,-405,13714,138,13218,901,102,6.56,5,0,0,0,0
南美洲,秘鲁,-6822,1768186,17,1714995,60013,15,3.39,27,0,0,0,0
